audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05808] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05810] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05811] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05812] added dtor for sample_instance 028035B0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05813] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05814] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05815] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05817] added dtor for sample_instance 02802D40, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05820] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05822] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05823] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05825] added dtor for sample_instance 02803880, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05826] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05828] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05829] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05832] added dtor for sample_instance 02802F20, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05835] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05836] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05838] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05841] added dtor for sample_instance 028024D0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05842] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05843] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05845] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05847] added dtor for sample_instance 028022F0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05848] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05850] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05851] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05852] added dtor for sample_instance 02802020, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05853] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05854] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05855] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05857] added dtor for sample_instance 02803790, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05858] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05859] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05860] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05861] added dtor for sample_instance 028033D0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05863] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05864] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05866] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05868] added dtor for sample_instance 028036A0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05869] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05871] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05872] 
